root@large-insatnce:~/cs553-spring2024-hw5-mdinesh6# ./vault -t 16 -o 16 -i 4 -m 16 -s 64 -f data-64GB.bin
NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=193126051840
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 25204809728 bytes
Free Memory: 4265463808 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[192][HASHGEN]: 61.75% completed, ETA 119.0 seconds, 256/512 flushes, 317.5 MB/sec
[193][HASHGEN]: 62.24% completed, ETA 117.2 seconds, 256/512 flushes, 319.9 MB/sec
[194][HASHGEN]: 62.73% completed, ETA 115.4 seconds, 256/512 flushes, 321.3 MB/sec
[195][HASHGEN]: 63.22% completed, ETA 113.5 seconds, 256/512 flushes, 321.1 MB/sec
[196][HASHGEN]: 63.71% completed, ETA 111.7 seconds, 256/512 flushes, 319.1 MB/sec
[197][HASHGEN]: 64.19% completed, ETA 110.0 seconds, 256/512 flushes, 316.0 MB/sec
[198][HASHGEN]: 64.67% completed, ETA 108.2 seconds, 256/512 flushes, 316.8 MB/sec
[199][HASHGEN]: 65.13% completed, ETA 106.6 seconds, 256/512 flushes, 300.4 MB/sec
[200][HASHGEN]: 65.59% completed, ETA 105.0 seconds, 256/512 flushes, 298.5 MB/sec
[201][HASHGEN]: 66.04% completed, ETA 103.4 seconds, 256/512 flushes, 297.7 MB/sec
[202][HASHGEN]: 66.56% completed, ETA 101.6 seconds, 256/512 flushes, 338.2 MB/sec
[203][HASHGEN]: 67.04% completed, ETA 99.9 seconds, 256/512 flushes, 317.7 MB/sec
[204][HASHGEN]: 67.52% completed, ETA 98.2 seconds, 256/512 flushes, 314.8 MB/sec
[205][HASHGEN]: 68.00% completed, ETA 96.5 seconds, 256/512 flushes, 313.0 MB/sec
[206][HASHGEN]: 68.47% completed, ETA 94.9 seconds, 256/512 flushes, 308.7 MB/sec
[207][HASHGEN]: 68.94% completed, ETA 93.3 seconds, 256/512 flushes, 306.3 MB/sec
[208][HASHGEN]: 69.40% completed, ETA 91.8 seconds, 256/512 flushes, 298.9 MB/sec
[209][HASHGEN]: 69.86% completed, ETA 90.2 seconds, 256/512 flushes, 301.0 MB/sec
[210][HASHGEN]: 70.31% completed, ETA 88.7 seconds, 256/512 flushes, 297.8 MB/sec
[211][HASHGEN]: 70.77% completed, ETA 87.2 seconds, 256/512 flushes, 297.9 MB/sec
[212][HASHGEN]: 71.22% completed, ETA 85.7 seconds, 256/512 flushes, 300.0 MB/sec
[213][HASHGEN]: 71.69% completed, ETA 84.2 seconds, 256/512 flushes, 307.3 MB/sec
[214][HASHGEN]: 72.16% completed, ETA 82.6 seconds, 256/512 flushes, 302.7 MB/sec
[215][HASHGEN]: 72.62% completed, ETA 81.1 seconds, 256/512 flushes, 302.8 MB/sec
[216][HASHGEN]: 73.08% completed, ETA 79.6 seconds, 256/512 flushes, 302.4 MB/sec
[217][HASHGEN]: 73.54% completed, ETA 78.1 seconds, 256/512 flushes, 302.5 MB/sec
[218][HASHGEN]: 74.00% completed, ETA 76.6 seconds, 256/512 flushes, 302.9 MB/sec
[219][HASHGEN]: 74.47% completed, ETA 75.1 seconds, 256/512 flushes, 302.8 MB/sec
[220][HASHGEN]: 74.92% completed, ETA 73.7 seconds, 256/512 flushes, 299.4 MB/sec
[221][HASHGEN]: 74.98% completed, ETA 73.8 seconds, 264/512 flushes, 32.7 MB/sec
[222][HASHGEN]: 74.98% completed, ETA 74.2 seconds, 273/512 flushes, 3.8 MB/sec
[223][HASHGEN]: 74.99% completed, ETA 74.6 seconds, 281/512 flushes, 2.4 MB/sec
[224][HASHGEN]: 74.99% completed, ETA 75.0 seconds, 291/512 flushes, 1.5 MB/sec
[226][HASHGEN]: 74.99% completed, ETA 75.5 seconds, 300/512 flushes, 0.7 MB/sec
[228][HASHGEN]: 75.00% completed, ETA 76.0 seconds, 310/512 flushes, 1.3 MB/sec
[230][HASHGEN]: 75.00% completed, ETA 76.8 seconds, 320/512 flushes, 0.7 MB/sec
[234][HASHGEN]: 75.00% completed, ETA 78.2 seconds, 322/512 flushes, 0.1 MB/sec
[237][HASHGEN]: 75.00% completed, ETA 79.1 seconds, 324/512 flushes, 0.5 MB/sec
[239][HASHGEN]: 75.00% completed, ETA 79.8 seconds, 339/512 flushes, 0.8 MB/sec
[240][HASHGEN]: 75.00% completed, ETA 80.2 seconds, 341/512 flushes, 0.7 MB/sec
[252][HASHGEN]: 75.01% completed, ETA 84.1 seconds, 343/512 flushes, 0.0 MB/sec
[253][HASHGEN]: 75.01% completed, ETA 84.5 seconds, 352/512 flushes, 2.1 MB/sec
[255][HASHGEN]: 75.01% completed, ETA 85.0 seconds, 358/512 flushes, 0.7 MB/sec
[256][HASHGEN]: 75.02% completed, ETA 85.3 seconds, 365/512 flushes, 2.7 MB/sec
[258][HASHGEN]: 75.02% completed, ETA 86.2 seconds, 371/512 flushes, 0.4 MB/sec
[268][HASHGEN]: 75.02% completed, ETA 89.3 seconds, 373/512 flushes, 0.1 MB/sec
